player_id,player_external_id,player_name,gender,role,batting_style,bowling_style,team_name
72,e15f4fa4,Ayesha Zafar,female,ALL_ROUNDER,,,Pakistan
73,564afdcf,B Bezuidenhout,female,BATTER,,,New Zealand
74,8a522c6c,B Biza,female,ALL_ROUNDER,,,Zimbabwe
75,ac0edb42,B Cooper,female,BATTER,,,West Indies
76,b3020075,B de Leede,female,BATTER,,,Netherlands
77,aa0c5e01,B Leephatthana,female,BATTER,,,Thailand
78,3a6cbb8e,B Tau,female,BATTER,,,Papua New Guinea
79,06f988b8,B Vakarewa,female,BOWLER,,,Australia
80,fb192f98,BA Langston,female,ALL_ROUNDER,,,England
81,3b5a9438,BAM Heath,female,BATTER,,,England
82,b1e5dade,Batool Fatima,female,BATTER,,,Pakistan
83,c64b7c5b,BF Smith,female,BOWLER,,,England
84,80a0cd77,BG Illing,female,ALL_ROUNDER,,,New Zealand
85,3b770527,Bismah Maroof,female,ALL_ROUNDER,,,Pakistan
86,52d1dbc8,BL Mooney,female,BATTER,,,Australia
87,648bc30f,BL Morgan,female,BOWLER,,,England
88,e179aae0,BM Anusha,female,ALL_ROUNDER,,,India
89,efb6cb2a,BM Halliday,female,ALL_ROUNDER,,,New Zealand
90,b55fb828,BMSM Kumari,female,ALL_ROUNDER,,,Sri Lanka
91,a9fabff4,BYA Mendis,female,BATTER,,,Sri Lanka
92,d92d3563,C Abel,female,ALL_ROUNDER,,,Scotland
93,d8cd0b9b,C Brits,female,ALL_ROUNDER,,,South Africa
94,da61a9af,C Chatonzwa,female,ALL_ROUNDER,,,Zimbabwe
95,c6a019f5,C de Lange,female,ALL_ROUNDER,,,Netherlands
96,f9258912,C Isaac,female,BOWLER,,,West Indies
97,5a50471c,C Murray,female,ALL_ROUNDER,,,Ireland
98,1ba50005,C Mutasa,female,ALL_ROUNDER,,,Zimbabwe
99,4cc7cb1d,C Prasad,female,ALL_ROUNDER,,,United States of America
100,5f9c8d7a,C Prathyusha,female,ALL_ROUNDER,,,India
101,28aba384,C Raack,female,ALL_ROUNDER,,,Ireland
102,f6ddfe08,C Sutthiruang,female,ALL_ROUNDER,,,Thailand
103,98b974df,C van der Westhuizen,female,BOWLER,,,South Africa
104,75820733,CA Henry,female,ALL_ROUNDER,,,West Indies
105,4412ede5,CC Dalton,female,BATTER,,,Ireland
106,39f351c6,CE Coulter Reilly,female,BATTER,,,Ireland
107,c6625a26,CE Dean,female,ALL_ROUNDER,,,England
108,27d5901c,CH van Koolwijk,female,BATTER,,,Netherlands
109,d58fdb42,CJ Metcalfe,female,ALL_ROUNDER,,,Ireland
110,5fd92ea2,CL Fitzpatrick,female,BOWLER,,,Australia
111,4d4605e6,CL Tryon,female,ALL_ROUNDER,,,South Africa
112,e412b9a7,CM Beggs,female,BATTER,,,Ireland
113,d4188b60,CM Edwards,female,ALL_ROUNDER,,,England
114,60e11a00,CMA Shillington,female,BATTER,,,Ireland
115,4d43c9f8,CMG Atkins,female,BATTER,,,England
116,639000b6,CN Nation,female,ALL_ROUNDER,,,West Indies
117,56418eae,CNIM Joyce,female,ALL_ROUNDER,,,Ireland
118,32a32368,CP Jack,female,ALL_ROUNDER,,,West Indies
119,d7c02672,CR Pagydyala,female,BATTER,,,United States of America
120,bff0535a,CR Seneviratna,female,ALL_ROUNDER,,,Sri Lanka
121,29f936f0,CR Smith,female,BOWLER,,,Australia
122,fb9a8cc3,CS Fraser,female,ALL_ROUNDER,,,West Indies
